rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.7993,0.8558,0.5714,1.0,8,4,False,True
2,frame_0069.jpg,27.6,0.7882,0.7478,0.7143,1.0,7,5,False,False
3,frame_0030.jpg,12.0,0.778,0.6417,0.8571,1.0,7,6,False,True
4,frame_0067.jpg,26.8,0.7478,0.7528,0.5714,1.0,9,4,False,False
5,frame_0033.jpg,13.2,0.7421,0.6556,0.7143,1.0,7,5,False,False
6,frame_0292.jpg,116.8,0.7355,0.8081,0.5714,0.8,7,4,False,True
7,frame_0291.jpg,116.4,0.734,0.7034,0.7143,0.84,9,5,False,False
8,frame_0375.jpg,150.0,0.72,0.8457,0.8571,0.2,10,6,False,True
9,frame_0005.jpg,2.0,0.7198,0.6967,0.5714,1.0,5,4,False,True
10,frame_0079.jpg,31.6,0.7175,0.6864,0.7143,0.8,8,5,False,True
11,frame_0004.jpg,1.6,0.7087,0.6746,0.5714,1.0,7,4,False,False
12,frame_0068.jpg,27.2,0.7084,0.5882,0.7143,1.0,9,5,False,False
13,frame_0132.jpg,52.8,0.7084,0.6739,0.5714,1.0,6,4,False,True
14,frame_0387.jpg,154.8,0.7074,0.8206,0.8571,0.2,9,6,False,True
15,frame_0021.jpg,8.4,0.7057,0.6685,0.5714,1.0,6,4,False,True
16,frame_0074.jpg,29.6,0.6998,0.6568,0.5714,1.0,7,4,False,False
17,frame_0002.jpg,0.8,0.6989,0.7406,0.4286,1.0,8,3,False,False
18,frame_0319.jpg,127.6,0.6966,0.6812,1.0,0.28,9,7,False,True
19,frame_0278.jpg,111.2,0.6953,0.834,0.7143,0.32,9,5,False,True
20,frame_0378.jpg,151.2,0.69,0.8338,0.8571,0.08,10,6,False,False
21,frame_0016.jpg,6.4,0.6863,0.6297,0.5714,1.0,7,4,False,True
22,frame_0128.jpg,51.2,0.6788,0.7644,0.4286,0.84,7,3,False,False
23,frame_0073.jpg,29.2,0.6772,0.783,0.2857,1.0,7,2,False,False
24,frame_0001.jpg,0.4,0.6643,0.5858,0.5714,1.0,11,4,False,False
25,frame_0167.jpg,66.8,0.6613,0.7398,0.5714,0.6,6,4,False,False
26,frame_0007.jpg,2.8,0.6566,0.4847,0.7143,1.0,6,5,False,False
27,frame_0116.jpg,46.4,0.6559,0.7392,0.7143,0.36,10,5,False,False
28,frame_0089.jpg,35.6,0.6533,0.718,0.7143,0.4,6,5,False,False
29,frame_0288.jpg,115.2,0.6516,0.8437,0.2857,0.72,7,2,False,False
30,frame_0003.jpg,1.2,0.6504,0.558,0.5714,1.0,8,4,False,False
31,frame_0210.jpg,84.0,0.6502,0.6855,0.5714,0.68,4,4,False,False
32,frame_0277.jpg,110.8,0.6501,0.8454,0.5714,0.28,8,4,False,False
33,frame_0367.jpg,146.8,0.65,0.8395,0.7143,0.08,9,5,False,False
34,frame_0170.jpg,68.0,0.6495,0.7642,0.5714,0.48,7,4,False,False
35,frame_0209.jpg,83.6,0.645,0.9162,0.1429,0.72,3,1,False,False
36,frame_0330.jpg,132.0,0.6427,0.8408,0.7143,0.04,9,5,False,False
37,frame_0080.jpg,32.0,0.6408,0.5491,0.7143,0.76,7,5,False,False
38,frame_0072.jpg,28.8,0.6395,0.6219,0.4286,1.0,6,3,False,False
39,frame_0031.jpg,12.4,0.6375,0.6179,0.4286,1.0,10,3,False,False
40,frame_0076.jpg,30.4,0.6374,0.6496,0.4286,0.92,7,3,False,False
41,frame_0075.jpg,30.0,0.6339,0.7124,0.2857,0.96,8,2,False,False
42,frame_0368.jpg,147.2,0.633,0.8214,0.7143,0.04,10,5,False,False
43,frame_0000.jpg,0.0,0.6313,0.6911,0.2857,1.0,9,2,False,False
44,frame_0370.jpg,148.0,0.6288,0.7274,0.8571,0.04,10,6,False,False
45,frame_0113.jpg,45.2,0.6265,0.7285,0.7143,0.24,7,5,False,False
46,frame_0029.jpg,11.6,0.6261,0.6808,0.2857,1.0,7,2,False,False
47,frame_0006.jpg,2.4,0.6229,0.503,0.5714,1.0,4,4,False,False
48,frame_0126.jpg,50.4,0.6228,0.6845,0.4286,0.76,7,3,False,False
49,frame_0014.jpg,5.6,0.6225,0.5878,0.4286,1.0,7,3,False,False
50,frame_0377.jpg,150.8,0.6192,0.7618,0.7143,0.12,11,5,False,False
51,frame_0300.jpg,120.0,0.617,0.6992,0.5714,0.48,8,4,False,False
52,frame_0230.jpg,92.0,0.6169,0.843,0.5714,0.12,10,4,False,False
53,frame_0127.jpg,50.8,0.6159,0.569,0.5714,0.8,7,4,False,False
54,frame_0231.jpg,92.4,0.6158,0.7391,0.7143,0.16,9,5,False,False
55,frame_0078.jpg,31.2,0.6124,0.7173,0.2857,0.84,8,2,False,False
56,frame_0290.jpg,116.0,0.6098,0.5568,0.5714,0.8,7,4,False,False
57,frame_0098.jpg,39.2,0.6087,0.6871,0.8571,0.04,7,6,False,False
58,frame_0388.jpg,155.2,0.6086,0.7246,0.7143,0.16,9,5,False,False
59,frame_0017.jpg,6.8,0.6035,0.5499,0.4286,1.0,4,3,False,False
60,frame_0176.jpg,70.4,0.5979,0.757,0.5714,0.24,8,4,False,False
61,frame_0015.jpg,6.0,0.5942,0.7026,0.1429,1.0,6,1,False,False
62,frame_0396.jpg,158.4,0.5914,0.6902,0.7143,0.16,8,5,False,False
63,frame_0105.jpg,42.0,0.5893,0.8037,0.5714,0.08,5,4,False,False
64,frame_0208.jpg,83.2,0.5865,0.6119,0.4286,0.76,4,3,False,False
65,frame_0276.jpg,110.4,0.5851,0.7314,0.5714,0.24,11,4,False,False
66,frame_0131.jpg,52.4,0.5849,0.5286,0.4286,0.96,5,3,False,False
67,frame_0297.jpg,118.8,0.5844,0.7574,0.2857,0.6,7,2,False,False
68,frame_0315.jpg,126.0,0.5836,0.6906,0.7143,0.12,6,5,False,False
69,frame_0328.jpg,131.2,0.5836,0.7924,0.5714,0.08,11,4,False,False
70,frame_0332.jpg,132.8,0.5794,0.8,0.5714,0.04,8,4,False,False
71,frame_0379.jpg,151.6,0.5789,0.7133,0.7143,0.04,11,5,False,False
72,frame_0169.jpg,67.6,0.5781,0.7767,0.2857,0.52,9,2,False,False
73,frame_0274.jpg,109.6,0.5771,0.7474,0.5714,0.16,8,4,False,False
